ApplicationId,Year,Amount
1092089,2016,77359
1092136,2016,77359
1092153,2016,46179.5
1092158,2016,95651
1092160,2016,92359
1092170,2016,77359
1092183,2016,77359
1092191,2016,88115
1092264,2016,77359
1092280,2016,77359
1092440,2016,77359
1092451,2016,110134
1092576,2016,92359
1092616,2016,77359
1091491,2016,280337.066666667
1092092,2016,367348.683333333
1092499,2016,149177
1092503,2016,364823.4875
1092547,2016,326146.575
1092674,2016,142080
1092852,2016,216973.129166667
1092933,2016,91730.3625
1077750,2016,224718
1077769,2016,262173
1077788,2016,159851
1077789,2016,207824
1077791,2016,156610
1077792,2016,178164
1077799,2016,234686
1077804,2016,125262
1077806,2016,161646
1077859,2016,228656
1077905,2016,202960
1077931,2016,220897
1077989,2016,279361
1078026,2016,945061
1078042,2016,320745
1078065,2016,255728
1078069,2016,254274
1078077,2016,302076
1078113,2016,108846
1078117,2016,183165
1078118,2016,176271
1078134,2016,173539
1078142,2016,218376
1078159,2016,123709
1078214,2016,158881
1078247,2016,130466
1078273,2016,173164
1078280,2016,201271
1078300,2016,130000
1078333,2016,459019
1078345,2016,162016
1078379,2016,217825
1078442,2016,214888
1078464,2016,133369
1078468,2016,207825
1078471,2016,215065
1078600,2016,201672
1078624,2016,516675
1078642,2016,216067
1078643,2016,135992
1078649,2016,639584
1078694,2016,122359
1078697,2016,211271
1078707,2016,250473
1078749,2016,164718
1078756,2016,326953
1078763,2016,195262
1078877,2016,255167
1078879,2016,197994
1078893,2016,201271
1078907,2016,208164
1078918,2016,217793
1078924,2016,165262
1078928,2016,201271
1078930,2016,223210
1078943,2016,216169
1078978,2016,256303
1078987,2016,137359
1079058,2016,288164
1079086,2016,222825
1079089,2016,254656
1079148,2016,489199
1079150,2016,205092
1079157,2016,173369
1079158,2016,229615
1079160,2016,189566
1079179,2016,89853
1079180,2016,198164
1079184,2016,222251
1079193,2016,222825
1079211,2016,170058
1079233,2016,188164
1079234,2016,207825
1079250,2016,173369
1079309,2016,147359
1079318,2016,204378
1079319,2016,214378
1079351,2016,168539
1079362,2016,294818
1079364,2016,236271
1079369,2016,219093
1079460,2016,304916
1079475,2016,226271
1079501,2016,1086074
1079522,2016,192968
1079542,2016,405998
1079583,2016,119652
1079586,2016,219378
1079616,2016,203122
1079645,2016,234446
1079668,2016,316350
1079670,2016,206271
1079671,2016,183164
1079672,2016,188164
1079680,2016,212782
1079696,2016,884980
1079706,2016,197824
1079712,2016,264083
1079720,2016,233692
1079739,2016,92359
1079753,2016,46581
1079756,2016,216102
1079762,2016,120466
1079834,2016,278630
1079866,2016,234174
1079891,2016,230728
1079893,2016,221271
1079924,2016,214378
1079930,2016,242417
1079946,2016,237824
1079956,2016,140819
1079995,2016,140906
1080007,2016,160505
1080020,2016,153638
1080036,2016,198504
1080045,2016,207825
1080131,2016,212636
1080146,2016,222484
1080157,2016,136476
1080183,2016,198810
1080186,2016,245058
1080197,2016,314718
1080204,2016,212018
1080246,2016,150185
1080253,2016,248164
1080259,2016,127950
1080274,2016,213265
1080298,2016,505233
1080302,2016,174718
1080307,2016,235462
1080329,2016,122359
1080330,2016,231271
1080333,2016,117359
1080387,2016,142359
1080391,2016,186271
1080405,2016,193164
1080465,2016,260388
1080468,2016,155262
1080473,2016,153369
1080491,2016,228164
1080492,2016,221271
1080498,2016,255727
1080505,2016,157359
1080507,2016,193539
1080521,2016,190632
1080530,2016,107359
1080560,2016,188164
1080582,2016,645020
1080587,2016,484344
1080604,2016,392077
1080606,2016,199633
1080652,2016,176271
1080673,2016,228164
1080682,2016,290184
1080706,2016,250882
1080746,2016,257009
1080774,2016,108538
1080784,2016,204378
1080920,2016,900524
1080938,2016,96831
1080976,2016,192825
1080985,2016,395558
1080995,2016,217824
1081001,2016,193708
1081013,2016,168539
1081026,2016,561082
1081072,2016,207825
1081124,2016,99938
1081151,2016,112359
1081167,2016,146545
1081178,2016,295262
1081182,2016,314378
1081221,2016,100466
1081225,2016,211271
1081242,2016,183539
1081252,2016,197825
1081272,2016,211271
1081290,2016,173538
1081312,2016,208165
1081320,2016,244842
1081344,2016,118471
1081355,2016,201353
1081373,2016,216271
1081376,2016,249378
1081412,2016,130466
1081433,2016,338114
1081441,2016,184518
1081443,2016,800219
